"h3_id","h3_mean_temp","h3_median_temp","h3_center_lon","h3_center_lat","species","n_occ","min_seabed_t","mean_seabed_t","median_seabed_t","max_seabed_t","mid_point","thermal_range","seabed_thermal_pos"
"852a629bfffffff",1.834,1.834,-64.1308532141749,35.8517999286456,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62a3fffffff",1.835,1.835,-64.0260074945877,35.3690817731791,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62a7fffffff",1.835,1.835,-63.9545697292218,35.2466362812276,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62abfffffff",1.834,1.834,-64.2088407579379,35.378479285261,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62affffffff",1.834,1.834,-64.1368776340037,35.2560810629412,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62b3fffffff",1.833,1.833,-63.9146591871947,35.4821506447896,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62b7fffffff",1.834,1.834,-63.843366134273,35.3594169237273,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62bbfffffff",1.836,1.836,-64.0978287468061,35.491768951596,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62c3fffffff",1.833,1.833,-64.5005814773296,35.8704649954691,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62c7fffffff",1.835,1.835,-64.4270572511388,35.7471117484986,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62cbfffffff",1.833,1.833,-64.6857273536674,35.8793829098339,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62cffffffff",1.833,1.833,-64.6116684156053,35.7560846112456,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62d3fffffff",1.833,1.833,-64.3890063899889,35.9849139127617,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62d7fffffff",1.834,1.834,-64.3156222418605,35.8612703522566,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a62dbfffffff",1.832,1.832,-64.5745033109124,35.9940543133274,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.788
"852a6303fffffff",1.829,1.829,-63.9626600025185,34.6571345126599,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6307fffffff",1.827,1.827,-63.8924427656758,34.5362400463031,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a630bfffffff",1.828,1.828,-64.1427555603051,34.6662827735005,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a630ffffffff",1.826,1.826,-64.0720280509504,34.5454317124224,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6313fffffff",1.829,1.829,-63.8528277196625,34.7689112366961,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6317fffffff",1.829,1.829,-63.7827519299606,34.6477293165489,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a631bfffffff",1.83,1.83,-64.0332487767991,34.778273741351,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6323fffffff",1.823,1.823,-63.9316837857442,34.3044635981665,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6327fffffff",1.824,1.824,-63.862061647038,34.1843483026857,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a632bfffffff",1.821,1.821,-64.1104408371144,34.3134863585524,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.79
"852a632ffffffff",1.823,1.823,-64.0403157278873,34.1934126209331,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6333fffffff",1.826,1.826,-63.8225943499047,34.4155912374999,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6337fffffff",1.826,1.826,-63.7531120629147,34.2951889607528,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a633bfffffff",1.822,1.822,-64.0016716938795,34.4248250242549,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6343fffffff",1.829,1.829,-64.3946489338862,34.7962209970787,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6347fffffff",1.829,1.829,-64.323035332327,34.675173192072,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a634bfffffff",1.827,1.827,-64.5756214055196,34.8048039478715,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a634ffffffff",1.828,1.828,-64.5034960263061,34.6838048770205,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6353fffffff",1.83,1.83,-64.2853349698568,34.9087143534501,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6357fffffff",1.829,1.829,-64.2138569493651,34.7873772975034,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a635bfffffff",1.83,1.83,-64.4666415042898,34.9175100067617,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.789
"852a6363fffffff",1.821,1.821,-64.360378070373,34.4425301508446,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.79
"852a6367fffffff",1.821,1.821,-64.2893800203703,34.3222563537014,"Leucoraja ocellata",436,-0.597,9.711,9.721,19.415,9.409,20.012,-0.79
